发布日期,时间,今值,预测值,前值,,,,,,,
2022年12月22日,21:30,216K,222K,214K,,,,,,,
2022年12月15日,21:30,211K,230K,231K,,,,,,,
2022年12月8日,21:30,230K,230K,226K,,,,,,,
2022年12月1日,21:30,225K,235K,241K,,,,,,,
2022年11月23日,21:30,240K,225K,223K,,,,,,,
2022年11月17日,21:30,222K,225K,226K,,,,,,,
2022年11月10日,21:30,225K,220K,218K,,,,,,,
2022年11月3日,20:30,217K,220K,218K,,,,,,,
2022年10月27日,20:30,217K,220K,214K,,,,,,,
2022年10月20日,20:30,214K,230K,226K,,,,,,,
2022年10月13日,20:30,228K,225K,219K,,,,,,,
2022年10月6日,20:30,219K,203K,190K,,,,,,,
2022年9月29日,20:30,193K,215K,209K,,,,,,,
2022年9月22日,20:30,213K,218K,208K,,,,,,,
2022年9月15日,20:30,213K,226K,218K,,,,,,,
2022年9月8日,20:30,222K,240K,228K,,,,,,,
2022年9月1日,20:30,232K,248K,237K,,,,,,,
2022年8月25日,20:30,243K,253K,245K,,,,,,,
2022年8月18日,20:30,250K,265K,252K,,,,,,,
2022年8月11日,20:30,262K,263K,248K,,,,,,,
2022年8月4日,20:30,260K,259K,254K,,,,,,,
2022年7月28日,20:30,256K,253K,261K,,,,,,,
2022年7月21日,20:30,251K,240K,244K,,,,,,,
2022年7月14日,20:30,244K,235K,235K,,,,,,,
2022年7月7日,20:30,235K,230K,231K,,,,,,,
2022年6月30日,20:30,231K,228K,233K,,,,,,,
2022年6月23日,20:30,229K,227K,231K,,,,,,,
2022年6月16日,20:30,229K,215K,232K,,,,,,,
2022年6月9日,20:30,229K,210K,202K,,,,,,,
2022年6月2日,20:30,200K,210K,211K,,,,,,,
2022年5月26日,20:30,210K,215K,218K,,,,,,,
2022年5月19日,20:30,218K,200K,197K,,,,,,,
2022年5月12日,20:30,203K,195K,202K,,,,,,,
2022年5月5日,20:30,200K,182K,181K,,,,,,,
2022年4月28日,20:30,180K,180K,185K,,,,,,,
2022年4月21日,20:30,184K,180K,186K,,,,,,,
2022年4月14日,20:30,185K,171K,167K,,,,,,,
2022年4月7日,20:30,166K,200K,171K,,,,,,,
2022年3月31日,20:30,202K,197K,188K,,,,,,,
2022年3月24日,20:30,187K,212K,215K,,,,,,,
2022年3月17日,20:30,214K,220K,229K,,,,,,,
2022年3月10日,21:30,227K,217K,216K,,,,,,,
2022年3月3日,21:30,215K,226K,233K,,,,,,,
2022年2月24日,21:30,232K,235K,249K,,,,,,,
2022年2月17日,21:30,248K,219K,225K,,,,,,,
2022年2月10日,21:30,223K,230K,239K,,,,,,,
2022年2月3日,21:30,238K,245K,261K,,,,,,,
2022年1月27日,21:30,260K,260K,290K,,,,,,,
2022年1月20日,21:30,286K,220K,231K,,,,,,,
2022年1月13日,21:30,230K,200K,207K,,,,,,,
2022年1月6日,21:30,207K,197K,200K,,,,,,,
2021年12月30日,21:30,198K,208K,206K,,,,,,,
2021年12月23日,21:30,205K,205K,205K,,,,,,,
2021年12月16日,21:30,206K,200K,188K,,,,,,,
2021年12月9日,21:30,184K,215K,227K,,,,,,,
2021年12月2日,21:30,222K,240K,194K,,,,,,,
2021年11月24日,21:30,199K,260K,270K,,,,,,,
2021年11月18日,21:30,268K,260K,269K,,,,,,,
2021年11月10日,21:30,267K,265K,271K,,,,,,,
2021年11月4日,20:30,269K,275K,283K,,,,,,,
2021年10月28日,20:30,281K,290K,291K,,,,,,,
2021年10月21日,20:30,290K,300K,296K,,,,,,,
2021年10月14日,20:30,293K,319K,329K,,,,,,,
2021年10月7日,20:30,326K,348K,364K,,,,,,,
2021年9月30日,20:30,362K,335K,351K,,,,,,,
2021年9月23日,20:30,351K,320K,335K,,,,,,,
2021年9月16日,20:30,332K,330K,312K,,,,,,,
2021年9月9日,20:30,310K,335K,345K,,,,,,,
2021年9月2日,20:30,340K,345K,354K,,,,,,,
2021年8月26日,20:30,353K,350K,349K,,,,,,,
2021年8月19日,20:30,348K,363K,377K,,,,,,,
2021年8月12日,20:30,375K,375K,387K,,,,,,,
2021年8月5日,20:30,385K,384K,399K,,,,,,,
2021年7月29日,20:30,400K,380K,424K,,,,,,,
2021年7月22日,20:30,419K,350K,368K,,,,,,,
2021年7月15日,20:30,360K,360K,386K,,,,,,,
2021年7月8日,20:30,373K,350K,371K,,,,,,,
2021年7月1日,20:30,364K,390K,415K,,,,,,,
2021年6月24日,20:30,411K,380K,418K,,,,,,,
2021年6月17日,20:30,412K,359K,375K,,,,,,,
2021年6月10日,20:30,376K,370K,405K,,,,,,,
2021年6月3日,20:30,385K,390K,405K,,,,,,,
2021年5月27日,20:30,406K,425K,444K,,,,,,,
2021年5月20日,20:30,444K,450K,478K,,,,,,,
2021年5月13日,20:30,473K,490K,507K,,,,,,,
2021年5月6日,20:30,498K,540K,590K,,,,,,,
2021年4月29日,20:30,553K,549K,566K,,,,,,,
2021年4月22日,20:30,547K,617K,586K,,,,,,,
2021年4月15日,20:30,576K,700K,769K,,,,,,,
2021年4月8日,20:30,744K,680K,728K,,,,,,,
2021年4月1日,20:30,719K,680K,658K,,,,,,,
2021年3月25日,20:30,684K,730K,781K,,,,,,,
2021年3月18日,20:30,770K,700K,725K,,,,,,,
2021年3月11日,21:30,712K,725K,754K,,,,,,,
2021年3月4日,21:30,745K,750K,736K,,,,,,,
2021年2月25日,21:30,730K,838K,841K,,,,,,,
2021年2月18日,21:30,861K,765K,848K,,,,,,,
2021年2月11日,21:30,793K,757K,812K,,,,,,,
2021年2月4日,21:30,779K,830K,812K,,,,,,,
2021年1月28日,21:30,847K,875K,914K,,,,,,,
2021年1月21日,21:30,900K,910K,926K,,,,,,,
2021年1月14日,21:30,965K,795K,784K,,,,,,,
2021年1月7日,21:30,787K,800K,790K,,,,,,,
2020年12月31日,21:30,787K,833K,806K,,,,,,,
2020年12月23日,21:30,803K,885K,892K,,,,,,,
2020年12月17日,21:30,885K,800K,862K,,,,,,,
2020年12月10日,21:30,853K,725K,716K,,,,,,,
2020年12月3日,21:30,712K,775K,787K,,,,,,,
2020年11月25日,21:30,778K,730K,748K,,,,,,,
2020年11月19日,21:30,742K,707K,711K,,,,,,,
2020年11月12日,21:30,709K,735K,757K,,,,,,,
2020年11月5日,21:30,751K,732K,758K,,,,,,,
2020年10月29日,20:30,751K,775K,791K,,,,,,,
2020年10月22日,20:30,787K,860K,842K,,,,,,,
2020年10月15日,20:30,898K,825K,845K,,,,,,,
2020年10月8日,20:30,840K,820K,849K,,,,,,,
2020年10月1日,20:30,837K,850K,873K,,,,,,,
2020年9月24日,20:30,870K,840K,866K,,,,,,,
2020年9月17日,20:30,860K,850K,893K,,,,,,,
2020年9月10日,20:30,884K,846K,884K,,,,,,,
2020年9月3日,20:30,881K,950K,"1,011K",,,,,,,
2020年8月27日,20:30,"1,006K","1,000K","1,104K",,,,,,,
2020年8月20日,20:30,"1,106K",925K,971K,,,,,,,
2020年8月13日,20:30,963K,"1,120K","1,191K",,,,,,,
2020年8月6日,20:30,"1,186K","1,415K","1,435K",,,,,,,
2020年7月30日,20:30,"1,434K","1,450K","1,422K",,,,,,,
2020年7月23日,20:30,"1,416K","1,300K","1,307K",,,,,,,
2020年7月16日,20:30,"1,300K","1,250K","1,310K",,,,,,,
2020年7月9日,20:30,"1,314K","1,375K","1,413K",,,,,,,
2020年7月2日,20:30,"1,427K","1,355K","1,482K",,,,,,,
2020年6月25日,20:30,"1,480K","1,300K","1,540K",,,,,,,
2020年6月18日,20:30,"1,508K","1,300K","1,566K",,,,,,,
2020年6月11日,20:30,"1,542K","1,550K","1,897K",,,,,,,
2020年6月4日,20:30,"1,877K","1,800K","2,126K",,,,,,,
2020年5月28日,20:30,"2,123K","2,100K","2,446K",,,,,,,
2020年5月21日,20:30,"2,438K","2,400K","2,687K",,,,,,,
2020年5月14日,20:30,"2,981K","2,500K","3,176K",,,,,,,
2020年5月7日,20:30,"3,169K","3,000K","3,846K",,,,,,,
2020年4月30日,20:30,"3,839K","3,500K","4,442K",,,,,,,
2020年4月23日,20:30,"4,427K","4,200K","5,237K",,,,,,,
2020年4月16日,20:30,"5,245K","5,105K","6,615K",,,,,,,
2020年4月9日,20:30,"6,606K","5,250K","6,867K",,,,,,,
2020年4月2日,20:30,"6,648K","3,500K","3,307K",,,,,,,
2020年3月26日,20:30,"3,283K","1,650K",282K,,,,,,,
2020年3月19日,20:30,281K,220K,211K,,,,,,,
2020年3月12日,20:30,211K,218K,215K,,,,,,,
2020年3月5日,21:30,216K,215K,219K,,,,,,,
2020年2月27日,21:30,219K,212K,211K,,,,,,,
2020年2月20日,21:30,210K,210K,206K,,,,,,,
2020年2月13日,21:30,205K,210K,203K,,,,,,,
2020年2月6日,21:30,202K,215K,217K,,,,,,,
2020年1月30日,21:30,216K,215K,223K,,,,,,,
2020年1月23日,21:30,211K,215K,205K,,,,,,,
2020年1月16日,21:30,204K,216K,214K,,,,,,,
2020年1月9日,21:30,214K,220K,223K,,,,,,,
2020年1月2日,21:30,222K,225K,224K,,,,,,,
2019年12月26日,21:30,222K,224K,235K,,,,,,,
2019年12月19日,21:30,234K,225K,252K,,,,,,,
2019年12月12日,21:30,252K,213K,203K,,,,,,,
2019年12月5日,21:30,203K,215K,213K,,,,,,,
2019年11月27日,21:30,213K,223K,228K,,,,,,,
2019年11月21日,21:30,227K,219K,227K,,,,,,,
2019年11月14日,21:30,225K,215K,211K,,,,,,,
2019年11月7日,21:30,211K,215K,218K,,,,,,,
2019年10月31日,20:30,218K,215K,213K,,,,,,,
2019年10月24日,20:30,212K,216K,218K,,,,,,,
2019年10月17日,20:30,214K,212K,210K,,,,,,,
2019年10月10日,20:30,210K,215K,220K,,,,,,,
2019年10月3日,20:30,219K,215K,215K,,,,,,,
2019年9月26日,20:30,213K,212K,210K,,,,,,,
2019年9月19日,20:30,208K,213K,206K,,,,,,,
2019年9月12日,20:30,204K,215K,219K,,,,,,,
2019年9月5日,20:30,217K,215K,216K,,,,,,,
2019年8月29日,20:30,215K,215K,211K,,,,,,,
2019年8月22日,20:30,209K,216K,221K,,,,,,,
2019年8月15日,20:30,220K,214K,211K,,,,,,,
2019年8月8日,20:30,209K,215K,217K,,,,,,,
2019年8月1日,20:30,215K,214K,207K,,,,,,,
2019年7月25日,20:30,206K,220K,216K,,,,,,,
2019年7月18日,20:30,216K,216K,208K,,,,,,,
2019年7月11日,20:30,209K,220K,222K,,,,,,,
2019年7月3日,20:30,221K,220K,229K,,,,,,,
2019年6月27日,20:30,227K,220K,217K,,,,,,,
2019年6月20日,20:30,216K,220K,222K,,,,,,,
2019年6月13日,20:30,222K,216K,219K,,,,,,,
2019年6月6日,20:30,218K,215K,218K,,,,,,,
2019年5月30日,20:30,215K,216K,212K,,,,,,,
2019年5月23日,20:30,211K,215K,212K,,,,,,,
2019年5月16日,20:30,212K,220K,228K,,,,,,,
2019年5月9日,20:30,228K,215K,230K,,,,,,,
2019年5月2日,20:30,230K,220K,230K,,,,,,,
2019年4月25日,20:30,230K,199K,193K,,,,,,,
2019年4月18日,20:30,192K,205K,197K,,,,,,,
2019年4月11日,20:30,196K,211K,204K,,,,,,,
2019年4月4日,20:30,202K,216K,212K,,,,,,,
2019年3月28日,20:30,211K,220K,216K,,,,,,,
2019年3月21日,20:30,221K,226K,230K,,,,,,,
2019年3月14日,20:30,229K,225K,223K,,,,,,,
2019年3月7日,21:30,223K,225K,226K,,,,,,,
2019年2月28日,21:30,225K,221K,217K,,,,,,,
2019年2月21日,21:30,216K,220K,239K,,,,,,,
2019年2月14日,21:30,239K,225K,235K,,,,,,,
2019年2月7日,21:30,234K,221K,253K,,,,,,,
2019年1月31日,21:30,253K,215K,200K,,,,,,,
2019年1月24日,21:30,199K,219K,212K,,,,,,,
2019年1月17日,21:30,213K,219K,216K,,,,,,,
2019年1月10日,21:30,216K,225K,233K,,,,,,,
2019年1月3日,21:30,231K,220K,221K,,,,,,,
2018年12月27日,21:30,216K,217K,217K,,,,,,,
2018年12月20日,21:30,214K,219K,206K,,,,,,,
2018年12月13日,21:30,206K,226K,233K,,,,,,,
2018年12月6日,21:30,231K,226K,235K,,,,,,,
2018年11月29日,21:30,234K,221K,224K,,,,,,,
2018年11月21日,21:30,224K,215K,221K,,,,,,,
2018年11月15日,21:30,216K,216K,214K,,,,,,,
2018年11月8日,21:30,214K,214K,215K,,,,,,,
2018年11月1日,20:30,214K,213K,216K,,,,,,,
2018年10月25日,20:30,215K,214K,210K,,,,,,,
2018年10月18日,20:30,210K,211K,215K,,,,,,,
2018年10月11日,20:30,214K,206K,207K,,,,,,,
2018年10月4日,20:30,207K,211K,215K,,,,,,,
2018年9月27日,20:30,214K,208K,202K,,,,,,,
2018年9月20日,20:30,201K,210K,204K,,,,,,,
2018年9月13日,20:30,204K,210K,205K,,,,,,,
2018年9月6日,20:30,203K,214K,213K,,,,,,,
2018年8月30日,20:30,213K,214K,210K,,,,,,,
2018年8月23日,20:30,210K,215K,212K,,,,,,,
2018年8月16日,20:30,212K,215K,214K,,,,,,,
2018年8月9日,20:30,213K,220K,219K,,,,,,,
2018年8月2日,20:30,218K,220K,217K,,,,,,,
2018年7月26日,20:30,217K,215K,208K,,,,,,,
2018年7月19日,20:30,207K,220K,215K,,,,,,,
2018年7月12日,20:30,214K,226K,232K,,,,,,,
2018年7月5日,20:30,231K,231K,228K,,,,,,,
2018年6月28日,20:30,227K,220K,218K,,,,,,,
2018年6月21日,20:30,218K,220K,221K,,,,,,,
2018年6月14日,20:30,218K,223K,222K,,,,,,,
2018年6月7日,20:30,222K,223K,223K,,,,,,,
2018年5月31日,20:30,221K,234K,234K,,,,,,,
2018年5月24日,20:30,234K,220K,223K,,,,,,,
2018年5月17日,20:30,222K,215K,211K,,,,,,,
2018年5月10日,20:30,211K,219K,211K,,,,,,,
2018年5月3日,20:30,211K,225K,209K,,,,,,,
2018年4月26日,20:30,209K,230K,233K,,,,,,,
2018年4月19日,20:30,232K,230K,233K,,,,,,,
2018年4月12日,20:30,233K,231K,242K,,,,,,,
2018年4月5日,20:30,242K,225K,218K,,,,,,,
2018年3月29日,20:30,215K,230K,227K,,,,,,,
2018年3月22日,20:30,229K,225K,226K,,,,,,,
2018年3月15日,20:30,226K,230K,230K,,,,,,,
2018年3月8日,21:30,231K,220K,210K,,,,,,,
2018年3月1日,21:30,210K,226K,220K,,,,,,,
2018年2月22日,21:30,222K,230K,229K,,,,,,,
2018年2月15日,21:30,230K,230K,223K,,,,,,,
2018年2月8日,21:30,221K,236K,230K,,,,,,,
2018年2月1日,21:30,230K,238K,231K,,,,,,,
2018年1月25日,21:30,233K,236K,216K,,,,,,,
2018年1月18日,21:30,220K,250K,261K,,,,,,,
2018年1月11日,21:30,261K,246K,250K,,,,,,,
2018年1月4日,21:30,250K,241K,247K,,,,,,,
2017年12月28日,21:30,245K,240K,245K,,,,,,,
2017年12月21日,21:30,245K,231K,225K,,,,,,,
2017年12月14日,21:30,225K,239K,236K,,,,,,,
2017年12月7日,21:30,236K,240K,238K,,,,,,,
2017年11月30日,21:30,238K,240K,240K,,,,,,,
2017年11月22日,21:30,239K,240K,252K,,,,,,,
2017年11月16日,21:30,249K,235K,239K,,,,,,,
2017年11月9日,21:30,239K,231K,229K,,,,,,,
2017年11月2日,20:30,229K,235K,234K,,,,,,,
2017年10月26日,20:30,233K,235K,223K,,,,,,,
2017年10月19日,20:30,222K,240K,244K,,,,,,,
2017年10月12日,20:30,243K,251K,258K,,,,,,,
2017年10月5日,20:30,260K,265K,272K,,,,,,,
2017年9月28日,20:30,272K,270K,260K,,,,,,,
2017年9月21日,20:30,259K,300K,282K,,,,,,,
2017年9月14日,20:30,284K,300K,298K,,,,,,,
2017年9月7日,20:30,298K,241K,236K,,,,,,,
2017年8月31日,20:30,236K,237K,235K,,,,,,,
2017年8月24日,20:30,234K,238K,232K,,,,,,,
2017年8月17日,20:30,232K,240K,244K,,,,,,,
2017年8月10日,20:30,244K,240K,241K,,,,,,,
2017年8月3日,20:30,240K,242K,245K,,,,,,,
2017年7月27日,20:30,244K,241K,234K,,,,,,,
2017年7月20日,20:30,233K,245K,248K,,,,,,,
2017年7月13日,20:30,247K,245K,250K,,,,,,,
2017年7月6日,20:30,248K,243K,244K,,,,,,,
2017年6月29日,20:30,244K,240K,242K,,,,,,,
2017年6月22日,20:30,241K,240K,238K,,,,,,,
2017年6月15日,20:30,237K,242K,245K,,,,,,,
2017年6月8日,20:30,245K,240K,255K,,,,,,,
2017年6月1日,20:30,248K,239K,235K,,,,,,,
2017年5月25日,20:30,234K,238K,233K,,,,,,,
2017年5月18日,20:30,232K,240K,236K,,,,,,,
2017年5月11日,20:30,236K,245K,238K,,,,,,,
2017年5月4日,20:30,238K,247K,257K,,,,,,,
2017年4月27日,20:30,257K,245K,243K,,,,,,,
2017年4月20日,20:30,244K,242K,234K,,,,,,,
2017年4月13日,20:30,234K,245K,235K,,,,,,,
2017年4月6日,20:30,234K,250K,259K,,,,,,,
2017年3月30日,20:30,258K,248K,261K,,,,,,,
2017年3月23日,20:30,258K,240K,243K,,,,,,,
2017年3月16日,20:30,241K,240K,243K,,,,,,,
2017年3月9日,21:30,243K,235K,223K,,,,,,,
2017年3月2日,21:30,223K,243K,242K,,,,,,,
2017年2月23日,21:30,244K,241K,238K,,,,,,,
2017年2月16日,21:30,239K,245K,234K,,,,,,,
2017年2月9日,21:30,234K,250K,246K,,,,,,,
2017年2月2日,21:30,246K,250K,260K,,,,,,,
2017年1月26日,21:30,259K,247K,237K,,,,,,,
2017年1月19日,21:30,234K,254K,249K,,,,,,,
2017年1月12日,21:30,247K,255K,237K,,,,,,,
2017年1月5日,21:30,235K,260K,263K,,,,,,,
2016年12月29日,21:30,265K,264K,275K,,,,,,,
2016年12月22日,21:30,275K,256K,254K,,,,,,,
2016年12月15日,21:30,254K,255K,258K,,,,,,,
2016年12月8日,21:30,258K,258K,268K,,,,,,,
2016年12月1日,21:30,268K,253K,251K,,,,,,,
2016年11月23日,21:30,251K,250K,233K,,,,,,,
2016年11月17日,21:30,235K,257K,254K,,,,,,,
2016年11月10日,21:30,254K,260K,265K,,,,,,,
2016年11月3日,20:30,265K,258K,258K,,,,,,,
2016年10月27日,20:30,258K,255K,261K,,,,,,,
2016年10月20日,20:30,260K,250K,247K,,,,,,,
2016年10月13日,20:30,246K,254K,246K,,,,,,,
2016年10月6日,20:30,249K,257K,254K,,,,,,,
2016年9月29日,20:30,254K,260K,251K,,,,,,,
2016年9月22日,20:30,252K,262K,260K,,,,,,,
2016年9月15日,20:30,260K,265K,259K,,,,,,,
2016年9月8日,20:30,259K,265K,263K,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
