发布日期,时间,今值,预测值,前值,,今值,预测值,前值,,今值,预测值,前值
2022/12/15,21:30,-0.20%,0.20%,1.20%,,-0.60%,-0.10%,1.30%,,-0.20%,0.20%,0.50%
2022/11/16,21:30,1.30%,0.40%,0.10%,,1.30%,1.00%,0.00%,,0.70%,0.30%,0.60%
2022/10/14,20:30,0.10%,-0.10%,-0.10%,,0.00%,0.20%,0.40%,,0.40%,0.30%,0.20%
2022/9/15,20:30,-0.30%,0.10%,0.40%,,0.30%,0.20%,-0.40%,,0.40%,0.30%,0.80%
2022/8/17,20:30,0.40%,-0.10%,0.90%,,0.00%,0.10%,0.80%,,0.80%,0.60%,0.70%
2022/7/15,20:30,1.00%,0.60%,0.60%,,1.00%,0.80%,-0.10%,,0.80%,0.30%,-0.30%
2022/6/15,20:30,0.50%,0.80%,0.40%,,-0.30%,0.20%,0.70%,,0.00%,0.50%,0.50%
2022/5/17,20:30,0.60%,0.40%,2.10%,,0.90%,0.90%,1.40%,,1.00%,0.50%,1.10%
2022/4/14,20:30,1.10%,1.00%,0.60%,,0.50%,0.60%,0.80%,,-0.10%,0.20%,-0.90%
2022/3/16,20:30,0.20%,0.90%,4.40%,,0.30%,0.40%,4.90%,,-1.20%,0.40%,6.70%
2022/2/16,21:30,3.30%,0.80%,-2.80%,,3.80%,2.00%,-2.50%,,4.80%,1.00%,-4.00%
2022/1/14,21:30,-2.30%,0.20%,0.10%,,-1.90%,-0.10%,0.20%,,-3.10%,0.10%,-0.50%
2021/12/15,21:30,0.30%,0.90%,1.80%,,0.30%,0.80%,1.80%,,-0.10%,0.70%,1.80%
2021/11/16,21:30,1.70%,1.00%,0.70%,,1.70%,1.20%,0.80%,,1.60%,0.90%,0.50%
2021/10/15,20:30,0.80%,0.50%,2.00%,,0.70%,-0.20%,0.90%,,0.80%,0.40%,2.60%
2021/9/16,20:30,1.80%,-0.10%,-1.00%,,0.70%,-0.80%,-1.80%,,2.50%,-0.10%,-1.90%
2021/8/17,20:30,-0.40%,0.10%,1.60%,,-1.10%,-0.30%,0.70%,,-1.00%,-0.10%,1.40%
2021/7/16,20:30,1.30%,0.40%,-0.90%,,0.60%,-0.40%,-1.70%,,1.10%,0.40%,-1.40%
2021/6/15,20:30,-0.70%,0.20%,-0.80%,,-1.30%,-0.80%,0.90%,,-0.70%,-0.60%,-0.40%
2021/5/14,20:30,-0.80%,0.70%,9.00%,,0.00%,1.00%,10.70%,,-1.50%,-0.20%,7.60%
2021/4/15,20:30,8.40%,5.00%,-2.50%,,9.80%,5.90%,-2.70%,,6.90%,6.30%,-3.40%
2021/3/16,20:30,-2.70%,-0.10%,8.30%,,-3.00%,-0.50%,7.60%,,-3.50%,-0.90%,8.70%
2021/2/17,21:30,5.90%,1.00%,-1.80%,,5.30%,1.10%,-1.00%,,6.00%,0.80%,-2.40%
2021/1/15,21:30,-1.40%,-0.10%,-1.30%,,-0.70%,-0.20%,-1.40%,,-1.90%,0.10%,-1.10%
2020/12/16,21:30,-0.90%,0.10%,-0.10%,,-1.10%,-0.30%,-0.10%,,-0.50%,0.20%,-0.10%
2020/11/17,21:30,0.20%,0.60%,1.20%,,0.30%,0.50%,1.60%,,0.10%,0.50%,0.90%
2020/10/16,20:30,1.50%,0.50%,0.50%,,1.90%,0.70%,0.60%,,1.40%,0.20%,-0.30%
2020/9/16,20:30,0.70%,0.90%,1.30%,,0.60%,1.00%,0.90%,,-0.10%,0.50%,0.90%
2020/8/14,20:30,1.90%,1.30%,8.30%,,1.20%,1.90%,8.40%,,1.40%,0.80%,6.00%
2020/7/16,20:30,7.30%,5.00%,12.10%,,7.50%,5.00%,18.20%,,5.60%,3.60%,10.10%
2020/6/16,20:30,12.40%,5.50%,-15.20%,,17.70%,8.00%,-14.70%,,11.00%,4.70%,-12.40%
2020/5/15,20:30,-17.20%,-8.60%,-4.00%,,-16.40%,-12.00%,-8.30%,,-15.30%,-4.60%,3.10%
2020/4/15,20:30,-4.50%,-4.80%,-0.40%,,-8.70%,-8.00%,-0.40%,,1.70%,-2.00%,-0.20%
2020/3/17,20:30,-0.40%,0.20%,0.60%,,-0.50%,0.20%,0.60%,,0.00%,0.40%,0.40%
2020/2/14,21:30,0.30%,0.30%,0.60%,,0.30%,0.30%,0.20%,,0.00%,0.30%,0.20%
2020/1/16,21:30,0.70%,0.50%,0.10%,,0.30%,0.30%,0.30%,,0.50%,0.40%,-0.10%
2019/12/13,21:30,0.10%,0.40%,0.30%,,0.20%,0.50%,0.40%,,0.10%,0.30%,0.30%
2019/11/15,21:30,0.20%,0.40%,-0.10%,,0.30%,0.20%,-0.30%,,0.30%,0.30%,0.00%
2019/10/16,20:30,-0.10%,0.20%,0.20%,,-0.30%,0.30%,0.60%,,0.00%,0.30%,0.30%
2019/9/13,20:30,0.00%,0.10%,1.00%,,0.40%,0.20%,0.80%,,0.30%,0.30%,0.90%
2019/8/15,20:30,1.00%,0.40%,0.30%,,0.70%,0.30%,0.30%,,1.00%,0.30%,0.70%
2019/7/16,20:30,0.40%,0.10%,0.40%,,0.40%,0.10%,0.40%,,0.70%,0.30%,0.60%
2019/6/14,20:30,0.50%,0.50%,0.50%,,0.50%,0.70%,0.30%,,0.50%,0.40%,0.40%
2019/5/15,20:30,0.10%,0.70%,1.30%,,-0.20%,0.20%,1.70%,,0.00%,0.40%,1.10%
2019/4/18,20:30,1.20%,0.70%,-0.20%,,1.60%,0.90%,-0.20%,,1.00%,0.40%,-0.30%
2019/4/1,20:30,-0.40%,0.40%,1.40%,,-0.20%,0.30%,0.70%,,-0.20%,0.40%,1.70%
2019/3/11,20:30,0.90%,0.40%,-2.10%,,0.20%,0.00%,-1.60%,,1.10%,0.60%,-2.30%
2019/2/14,21:30,-1.80%,0.00%,0.20%,,-1.20%,0.10%,0.10%,,-1.70%,0.40%,1.00%
2018/12/14,21:30,0.20%,0.20%,1.00%,,0.20%,0.10%,1.10%,,0.90%,0.40%,0.70%
2018/11/15,21:30,0.70%,0.50%,-0.10%,,0.80%,0.60%,-0.10%,,0.30%,0.40%,0.30%
2018/10/15,20:30,-0.10%,0.40%,0.20%,,0.10%,0.70%,0.10%,,0.50%,0.30%,0.10%
2018/9/14,20:30,0.30%,0.50%,0.90%,,0.10%,0.40%,0.70%,,0.10%,0.40%,0.80%
2018/8/15,20:30,0.60%,0.40%,0.20%,,0.50%,0.20%,0.20%,,0.50%,0.40%,-0.10%
2018/7/16,20:30,0.40%,0.40%,1.40%,,0.50%,0.50%,1.30%,,0.00%,0.40%,0.80%
2018/6/14,20:30,0.90%,0.50%,0.40%,,0.80%,0.40%,0.40%,,0.50%,0.40%,0.60%
2018/5/15,20:30,0.30%,0.50%,0.40%,,0.30%,0.40%,0.80%,,0.40%,0.40%,0.50%
2018/4/16,20:30,0.20%,0.20%,0.20%,,0.60%,0.40%,-0.10%,,0.40%,0.40%,0.10%
2018/3/14,20:30,0.20%,0.30%,0.10%,,-0.10%,0.30%,-0.10%,,0.10%,0.40%,-0.20%
2018/2/14,21:30,0.00%,0.50%,0.10%,,-0.30%,0.20%,0.40%,,0.00%,0.40%,-0.20%
2018/1/12,21:30,0.40%,0.40%,1.30%,,0.40%,0.40%,0.90%,,0.30%,0.40%,1.40%
2017/12/14,21:30,1.00%,0.70%,0.40%,,0.80%,0.30%,0.50%,,0.80%,0.30%,0.40%
2017/11/15,21:30,0.10%,0.20%,1.20%,,0.20%,0.10%,1.90%,,0.30%,0.40%,0.50%
2017/10/13,20:30,1.00%,0.30%,0.50%,,1.60%,1.70%,-0.10%,,0.40%,0.40%,-0.20%
2017/9/15,20:30,0.20%,0.50%,0.40%,,-0.20%,0.10%,0.30%,,-0.20%,0.30%,0.60%
2017/8/15,20:30,0.50%,0.30%,0.10%,,0.60%,0.40%,0.30%,,0.60%,0.40%,0.10%
2017/7/14,20:30,-0.20%,0.20%,-0.30%,,-0.20%,0.10%,-0.10%,,-0.10%,0.30%,0.00%
2017/6/14,20:30,-0.30%,0.20%,0.40%,,-0.30%,0.10%,0.40%,,0.00%,0.30%,0.60%
2017/5/12,20:30,0.30%,0.50%,0.30%,,0.40%,0.60%,0.10%,,0.20%,0.40%,0.70%
2017/4/14,20:30,0.00%,0.10%,0.20%,,-0.20%,-0.10%,-0.30%,,0.50%,0.30%,-0.20%
2017/3/15,20:30,0.20%,0.20%,1.20%,,0.10%,0.10%,0.60%,,0.10%,0.20%,0.80%
2017/2/15,21:30,0.80%,0.40%,0.40%,,0.40%,0.10%,1.00%,,0.40%,0.30%,0.40%
2017/1/13,21:30,0.20%,0.50%,0.30%,,0.60%,0.70%,0.20%,,0.20%,0.40%,0.10%
2016/12/14,21:30,0.20%,0.40%,0.60%,,0.10%,0.30%,0.60%,,0.10%,0.30%,0.60%
2016/11/15,21:30,0.80%,0.50%,0.70%,,0.80%,0.60%,1.00%,,0.80%,0.30%,0.30%
2016/10/14,20:30,0.50%,0.40%,-0.20%,,0.60%,0.60%,-0.20%,,0.10%,0.40%,-0.10%
2016/9/15,20:30,-0.10%,0.20%,-0.40%,,-0.30%,-0.10%,0.10%,,-0.10%,0.30%,-0.10%
2016/8/12,20:30,-0.30%,0.20%,0.90%,,0.00%,0.40%,0.80%,,0.00%,0.30%,0.50%
2016/7/15,20:30,0.70%,0.40%,0.40%,,0.60%,0.10%,0.20%,,0.50%,0.30%,0.50%
2016/6/14,20:30,0.40%,0.40%,0.80%,,0.50%,0.30%,1.30%,,0.40%,0.30%,1.00%
2016/5/13,20:30,0.80%,0.50%,0.40%,,1.30%,0.80%,-0.30%,,0.90%,0.30%,0.20%
2016/4/13,20:30,0.20%,0.40%,-0.10%,,-0.30%,0.10%,-0.10%,,0.10%,0.30%,0.10%
2016/3/15,20:30,-0.10%,-0.20%,-0.40%,,-0.10%,-0.20%,-0.40%,,0.00%,0.20%,0.20%
2016/2/12,21:30,0.10%,0.10%,0.10%,,0.20%,0.10%,0.20%,,0.60%,0.30%,-0.30%
2016/1/15,21:30,-0.10%,0.20%,0.30%,,-0.10%,0.10%,0.40%,,-0.30%,0.30%,0.50%
2015/12/11,21:30,0.40%,0.30%,0.10%,,0.20%,0.30%,0.10%,,0.60%,0.40%,0.20%
2015/11/13,21:30,0.20%,0.40%,-0.40%,,0.10%,0.30%,0.10%,,0.20%,0.40%,0.10%
2015/10/14,20:30,-0.30%,-0.10%,-0.10%,,0.10%,0.20%,0.00%,,-0.10%,0.30%,0.20%
2015/9/15,20:30,0.10%,0.20%,0.60%,,0.20%,0.30%,0.70%,,0.40%,0.40%,0.60%
2015/8/13,20:30,0.40%,0.40%,0.40%,,0.60%,0.50%,0.00%,,0.30%,0.50%,0.20%
2015/7/14,20:30,-0.10%,0.50%,0.80%,,-0.30%,0.20%,1.00%,,-0.10%,0.40%,0.70%
2015/6/11,20:30,1.00%,0.70%,0.10%,,1.20%,1.10%,0.20%,,0.70%,0.50%,0.10%
2015/5/13,20:30,0.10%,0.50%,0.70%,,0.00%,0.20%,1.10%,,0.00%,0.50%,0.50%
2015/4/14,20:30,0.40%,0.60%,-0.10%,,0.90%,1.00%,-0.50%,,0.30%,0.50%,-0.20%
2015/3/12,20:30,-0.10%,0.50%,-1.10%,,-0.60%,0.30%,-0.80%,,0.00%,0.40%,-0.10%
2015/2/12,21:30,-0.90%,-0.40%,-0.90%,,-0.80%,-0.50%,-0.90%,,0.10%,0.40%,-0.30%
2015/1/14,21:30,-1.00%,0.10%,0.10%,,-0.90%,-0.10%,0.40%,,-0.40%,0.40%,0.60%
2014/12/11,21:30,0.50%,0.10%,0.40%,,0.70%,0.40%,0.50%,,0.60%,0.50%,0.50%
2014/11/14,21:30,0.30%,0.20%,-0.20%,,0.30%,0.20%,-0.30%,,0.50%,0.40%,-0.20%
2014/10/15,20:30,-0.20%,0.30%,0.30%,,-0.30%,-0.10%,0.60%,,-0.20%,0.40%,0.40%
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
